2022-05-18 22:05:503 INFO  Carsguide :41 - Selecting anymakeFord from dropdown [[ChromeDriver: chrome on WINDOWS (f70e06b871c3b3cbc3367aa20c694a34)] -> xpath: //select[@id='makes']]<br>
2022-05-18 22:05:588 INFO  Carsguide :45 - Selecting models Any Model from dropdown [[ChromeDriver: chrome on WINDOWS (f70e06b871c3b3cbc3367aa20c694a34)] -> xpath: //select[@id='models']]<br>
2022-05-18 22:05:689 INFO  Carsguide :49 - Selecting QLD - Central Coast from dropdown [[ChromeDriver: chrome on WINDOWS (f70e06b871c3b3cbc3367aa20c694a34)] -> xpath: //select[@id='locations']]<br>
2022-05-18 22:05:792 INFO  Carsguide :53 - Selecting Price $30,000 from dropdown [[ChromeDriver: chrome on WINDOWS (f70e06b871c3b3cbc3367aa20c694a34)] -> xpath: //select[@id='priceTo']]<br>
2022-05-18 22:05:390 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-18 22:05:475 INFO  Homepage :27 - mousehover on buy and sell [[ChromeDriver: chrome on WINDOWS (41194bdefbd0bb78f45838bde2ffbc99)] -> xpath: //a[contains(text(),'buy + sell')]]<br>
2022-05-18 22:05:778 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-18 22:05:860 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-18 22:05:155 INFO  Homepage :27 - mousehover on buy and sell [[ChromeDriver: chrome on WINDOWS (03699ef2c37aded65c5037dc6ff6ff83)] -> xpath: //a[contains(text(),'buy + sell')]]<br>
2022-05-18 22:05:700 INFO  Homepage :32 - Clicking on serch car[[ChromeDriver: chrome on WINDOWS (03699ef2c37aded65c5037dc6ff6ff83)] -> xpath: //a[contains(text(),'Search Cars')]]<br>
2022-05-18 22:05:85 INFO  Carsguide :41 - Selecting anymakeHyundai from dropdown [[ChromeDriver: chrome on WINDOWS (03699ef2c37aded65c5037dc6ff6ff83)] -> xpath: //select[@id='makes']]<br>
2022-05-18 22:05:194 INFO  Carsguide :45 - Selecting models Elantra from dropdown [[ChromeDriver: chrome on WINDOWS (03699ef2c37aded65c5037dc6ff6ff83)] -> xpath: //select[@id='models']]<br>
2022-05-18 22:05:290 INFO  Carsguide :49 - Selecting SA - Eyre Peninsula from dropdown [[ChromeDriver: chrome on WINDOWS (03699ef2c37aded65c5037dc6ff6ff83)] -> xpath: //select[@id='locations']]<br>
2022-05-18 22:05:503 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-18 22:05:800 INFO  Homepage :27 - mousehover on buy and sell [[ChromeDriver: chrome on WINDOWS (884db7b682e9bbc309c9a304d7b34f26)] -> xpath: //a[contains(text(),'buy + sell')]]<br>
2022-05-18 22:05:343 INFO  Homepage :32 - Clicking on serch car[[ChromeDriver: chrome on WINDOWS (884db7b682e9bbc309c9a304d7b34f26)] -> xpath: //a[contains(text(),'Search Cars')]]<br>
2022-05-18 22:05:799 INFO  Carsguide :41 - Selecting anymakeAudi from dropdown [[ChromeDriver: chrome on WINDOWS (884db7b682e9bbc309c9a304d7b34f26)] -> xpath: //select[@id='makes']]<br>
2022-05-18 22:05:885 INFO  Carsguide :45 - Selecting models Any Model from dropdown [[ChromeDriver: chrome on WINDOWS (884db7b682e9bbc309c9a304d7b34f26)] -> xpath: //select[@id='models']]<br>
2022-05-18 22:05:991 INFO  Carsguide :49 - Selecting NSW - All from dropdown [[ChromeDriver: chrome on WINDOWS (884db7b682e9bbc309c9a304d7b34f26)] -> xpath: //select[@id='locations']]<br>
2022-05-18 22:05:110 INFO  Carsguide :53 - Selecting Price $25,000 from dropdown [[ChromeDriver: chrome on WINDOWS (884db7b682e9bbc309c9a304d7b34f26)] -> xpath: //select[@id='priceTo']]<br>
2022-05-18 22:05:596 INFO  Carsguide :57 - Clicking on find my carProxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'<br>
2022-05-18 22:05:616 INFO  Carsguide :60 - getting  text from makes [[ChromeDriver: chrome on WINDOWS (884db7b682e9bbc309c9a304d7b34f26)] -> xpath: //h1[@class='listing-search-title']]<br>
2022-05-18 23:05:264 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-18 23:05:742 INFO  Homepage :27 - mousehover on buy and sell [[ChromeDriver: chrome on WINDOWS (2eed24a78e3763c0f99fffec897530d5)] -> xpath: //a[contains(text(),'buy + sell')]]<br>
2022-05-18 23:05:690 INFO  Homepage :32 - Clicking on serch car[[ChromeDriver: chrome on WINDOWS (2eed24a78e3763c0f99fffec897530d5)] -> xpath: //a[contains(text(),'Search Cars')]]<br>
2022-05-18 23:05:69 INFO  Carsguide :41 - Selecting anymakeBMW from dropdown [[ChromeDriver: chrome on WINDOWS (2eed24a78e3763c0f99fffec897530d5)] -> xpath: //select[@id='makes']]<br>
2022-05-18 23:05:162 INFO  Carsguide :45 - Selecting models Any Model from dropdown [[ChromeDriver: chrome on WINDOWS (2eed24a78e3763c0f99fffec897530d5)] -> xpath: //select[@id='models']]<br>
2022-05-18 23:05:304 INFO  Carsguide :49 - Selecting NT - North from dropdown [[ChromeDriver: chrome on WINDOWS (2eed24a78e3763c0f99fffec897530d5)] -> xpath: //select[@id='locations']]<br>
2022-05-18 23:05:409 INFO  Carsguide :53 - Selecting Price $20,000 from dropdown [[ChromeDriver: chrome on WINDOWS (2eed24a78e3763c0f99fffec897530d5)] -> xpath: //select[@id='priceTo']]<br>
2022-05-18 23:05:714 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-18 23:05:173 INFO  Homepage :27 - mousehover on buy and sell [[ChromeDriver: chrome on WINDOWS (62e0eec9675ca985a276ac851c51e923)] -> xpath: //a[contains(text(),'buy + sell')]]<br>
2022-05-18 23:05:650 INFO  Homepage :32 - Clicking on serch car[[ChromeDriver: chrome on WINDOWS (62e0eec9675ca985a276ac851c51e923)] -> xpath: //a[contains(text(),'Search Cars')]]<br>
2022-05-18 23:05:12 INFO  Carsguide :41 - Selecting anymakeBMW from dropdown [[ChromeDriver: chrome on WINDOWS (62e0eec9675ca985a276ac851c51e923)] -> xpath: //select[@id='makes']]<br>
2022-05-18 23:05:123 INFO  Carsguide :45 - Selecting models Any Model from dropdown [[ChromeDriver: chrome on WINDOWS (62e0eec9675ca985a276ac851c51e923)] -> xpath: //select[@id='models']]<br>
2022-05-18 23:05:231 INFO  Carsguide :49 - Selecting NT - North from dropdown [[ChromeDriver: chrome on WINDOWS (62e0eec9675ca985a276ac851c51e923)] -> xpath: //select[@id='locations']]<br>
2022-05-18 23:05:340 INFO  Carsguide :53 - Selecting Price $20,000 from dropdown [[ChromeDriver: chrome on WINDOWS (62e0eec9675ca985a276ac851c51e923)] -> xpath: //select[@id='priceTo']]<br>
2022-05-18 23:05:500 INFO  Carsguide :57 - Clicking on find my carProxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'<br>
2022-05-18 23:05:520 INFO  Carsguide :60 - getting  text from makes [[ChromeDriver: chrome on WINDOWS (62e0eec9675ca985a276ac851c51e923)] -> xpath: //h1[@class='listing-search-title']]<br>
2022-05-18 23:05:753 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-18 23:05:243 INFO  Homepage :27 - mousehover on buy and sell [[ChromeDriver: chrome on WINDOWS (517ab529703d3aeb9c262e5046790e96)] -> xpath: //a[contains(text(),'buy + sell')]]<br>
2022-05-18 23:05:904 INFO  Homepage :32 - Clicking on serch car[[ChromeDriver: chrome on WINDOWS (517ab529703d3aeb9c262e5046790e96)] -> xpath: //a[contains(text(),'Search Cars')]]<br>
2022-05-18 23:05:371 INFO  Carsguide :41 - Selecting anymakeFord from dropdown [[ChromeDriver: chrome on WINDOWS (517ab529703d3aeb9c262e5046790e96)] -> xpath: //select[@id='makes']]<br>
2022-05-18 23:05:471 INFO  Carsguide :45 - Selecting models Any Model from dropdown [[ChromeDriver: chrome on WINDOWS (517ab529703d3aeb9c262e5046790e96)] -> xpath: //select[@id='models']]<br>
2022-05-18 23:05:571 INFO  Carsguide :49 - Selecting QLD - Central Coast from dropdown [[ChromeDriver: chrome on WINDOWS (517ab529703d3aeb9c262e5046790e96)] -> xpath: //select[@id='locations']]<br>
2022-05-18 23:05:675 INFO  Carsguide :53 - Selecting Price $30,000 from dropdown [[ChromeDriver: chrome on WINDOWS (517ab529703d3aeb9c262e5046790e96)] -> xpath: //select[@id='priceTo']]<br>
2022-05-18 23:05:587 INFO  Carsguide :57 - Clicking on find my carProxy element for: DefaultElementLocator 'By.xpath: //input[@id='search-submit']'<br>
2022-05-18 23:05:607 INFO  Carsguide :60 - getting  text from makes [[ChromeDriver: chrome on WINDOWS (517ab529703d3aeb9c262e5046790e96)] -> xpath: //h1[@class='listing-search-title']]<br>
2022-05-18 23:05:752 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-18 23:05:340 INFO  Homepage :27 - mousehover on buy and sell [[ChromeDriver: chrome on WINDOWS (46932d8117590c534763da86360eacbf)] -> xpath: //a[contains(text(),'buy + sell')]]<br>
